Kabupaten/Kota,Banjir_2019,Banjir_2020,Banjir_2021,Gempa_2019,Gempa_2020,Gempa_2021,Longsor_2019,Longsor_2020,Longsor_2021
Kab. Kepulauan Mentawai,8,11,16,4,4,21,3,2,5
Kab. Pesisir Selatan,50,29,80,159,158,137,11,15,24
Kab. Solok,12,12,20,5,4,7,28,16,30
Kab. Sijunjung,27,29,24,-,2,3,25,23,17
Kab. Tanah Datar,-,-,3,4,1,1,23,14,14
Kab. Padang Pariaman,16,8,17,32,30,48,21,8,21
Kab. Agam,3,2,6,3,2,30,19,13,22
Kab. Lima Puluh Kota,16,4,18,-,-,4,12,3,11
Kab. Pasaman,23,11,25,4,4,3,10,8,12
Kab. Solok Selatan,29,12,22,23,8,21,20,6,13
Kab. Dharmasraya,22,11,16,42,9,15,4,4,4
Kab. Pasaman Barat,20,14,17,10,5,17,6,2,4
Kota Padang,11,8,30,2,2,7,6,5,8
Kota Solok,6,6,9,-,-,-,2,1,2
Kota Sawahlunto,3,-,-,-,-,-,24,8,17
Kota Padang Panjang,-,-,-,-,-,-,1,1,2
Kota Bukittinggi,13,11,13,16,14,18,4,2,-
Kota Payakumbuh,2,-,3,-,-,11,1,1,-
Kota Pariaman,1,1,1,-,-,-,-,-,1
Provinsi Sumatera Barat,262,169,320,304,243,343,220,132,207
